"y","X1","X2","X3","X4","X5"
0.164770777207555,-0.079208,0.040062,-0.05166,-0.11514,NA
0.176382561148283,-0.10201,0.10751,-0.35373,0.18482,NA
0.18883153700478,-0.10206,0.44964,-0.040812,-0.45242,NA
0.195362201449957,-0.26374,-0.11765,-0.033553,0.20495,NA
0.202138939239906,0.1364,0.10995,-0.26011,-0.18511,NA
0.216384145387748,0.056487,0.28263,-0.41291,-0.076073,NA
0.231633244694215,0.33847,0.204,-0.1088,-0.65661,NA
0.197700899300906,0.0464,0.48982,-0.085368,-0.5907,NA
0.234406146348445,0.35197,0.019907,0.51385,-1.1871,NA
0.198156134689312,-0.077208,-0.079522,0.095763,-0.16277,NA
0.183287375488983,0.55984,-0.043463,-0.43424,-0.31086,NA
0.200047588147502,0.35028,0.27321,0.38947,-1.2533,NA
0.237188522610539,-0.054288,0.053501,-0.1087,-0.067543,NA
0.206304922150806,-0.049731,0.47099,0.024141,-0.57388,NA
0.231101100431906,0.10568,0.14537,0.29954,-0.77072,NA
0.169534302161838,-0.13482,0.051561,0.073937,-0.17259,NA
0.212736705993086,0.54854,0.54061,0.00025658,-1.2694,NA
0.218865038869999,0.26772,-0.23768,0.10151,-0.40239,NA
0.225169911398002,-0.20275,0.0053229,-0.23474,0.28212,NA
0.173600256365011,0.24186,-0.001834,-0.067536,-0.36558,NA
0.185834274454435,0.56888,-0.076034,-0.056341,-0.67761,NA
0.198930452552986,-0.3108,0.17987,-0.31206,0.36179,NA
0.205830966088266,-0.071017,-0.077984,-0.29468,0.29712,NA
0.212949549102898,0.22756,0.19264,0.46136,-1.0982,NA
0.227956604336627,0.27474,-0.31534,0.44992,-0.70305,NA
0.244045645369034,0.35656,0.16933,0.56969,-1.3408,NA
0.207774899341981,-0.090945,0.46374,0.11853,-0.58972,NA
0.176082965522765,0.013809,0.22834,-0.00037884,-0.36885,NA
0.24753581509202,0.10896,0.09006,-0.11367,-0.23146,NA
0.209758166488878,0.13096,-0.20397,-0.0592,-0.059249,NA
0.1786011806463,0.84973,-0.16793,-0.073169,-0.86353,NA
0.251075898775473,-0.32078,0.18428,-0.50085,0.60567,NA
0.182884586493261,0.027746,0.085614,-0.19228,-0.012504,NA
0.196321825395682,-0.094069,-0.16181,0.32565,-0.23236,NA
0.210767425973009,-0.18022,0.1243,-0.31655,0.32788,NA
0.20632555367458,-0.037797,-0.088354,0.049314,-0.049368,NA
0.226275951549222,-0.17,-0.01724,0.04609,0.041574,NA
0.242901322101985,0.36026,-0.37259,-0.10948,-0.069064,NA
0.207795677870824,0.11492,-0.28238,-0.14539,0.1686,NA
0.260774299147294,0.32686,0.073878,0.12661,-0.6712,NA
0.244289813077911,0.5513,-0.077403,-0.036977,-0.60807,NA
0.228847370959408,-0.1262,0.092832,0.19515,-0.25382,NA
0.209276277091194,-0.22049,0.011574,-0.51303,0.70121,NA
0.214402540609062,-0.39131,-0.16935,-0.085483,0.57686,NA
0.200849381016773,-0.26489,-0.17218,0.18975,0.13887,NA
0.188152965632889,0.20675,-0.25965,0.14904,-0.26245,NA
0.192665452673561,-0.094955,-0.01878,0.42581,-0.4141,NA
0.206243039956954,0.17315,0.025033,0.078903,-0.3677,NA
0.220777471728447,-0.16112,-0.18818,-0.14165,0.42889,NA
0.236359813867676,-0.16078,0.028904,-0.2596,0.37241,NA
0.253016645481967,-0.19739,0.28881,0.04764,-0.14758,NA
0.270847323169696,0.26329,-0.29516,-0.13843,0.045519,NA
0.19542081890257,-0.4777,0.13957,0.12887,0.21662,NA
0.198215590447636,0.10654,-0.48055,0.32699,-0.10492,NA
0.213824434543805,0.22405,-0.29437,0.0095274,0.031339,NA
0.228916035469858,-0.10643,-0.070753,-0.29721,0.54447,NA
0.245048286524884,0.20777,0.29249,-0.26944,-0.14615,NA
0.262317415228382,0.31193,-0.099374,0.34613,-0.60366,NA
0.280803540020313,0.13211,-0.29391,-0.22492,0.39106,NA
0.30059242547541,-0.19759,0.25327,0.33206,-0.32418,NA
0.216384145387748,0.049147,-0.19585,0.035039,0.12519,NA
0.304190843461353,-0.18183,0.12672,0.21331,-0.090634,NA
0.218952602397085,-0.062376,-0.0076259,-0.23512,0.39718,NA
0.307801556726248,0.12711,0.081016,0.21273,-0.38202,NA
0.225801270640368,0.22823,-0.077018,-0.25927,0.16278,NA
0.299901857354581,0.17233,0.088915,-0.55078,0.40356,NA
0.232840874683405,0.31368,-0.010364,0.016971,-0.29079,NA
0.232840874683405,0.098224,0.45763,-0.39974,0.0063316,NA
0.251151232844651,-0.45536,-0.34833,0.21579,0.63409,NA
0.270901498051638,-0.22384,0.25963,0.27196,-0.20551,NA
0.292204903059406,0.042847,-0.45105,-0.18345,0.60797,NA
0.238425115282607,-0.050331,-0.51718,-0.027471,0.62048,NA
0.257174612171402,-0.19061,0.023317,-0.055083,0.34385,NA
